Дата,Тип тренировки,Упражнение,Подход,Повторения,Вес (кг),Время (сек)
2026-03-08,chest,Жим лежа,1,10,60,
2026-03-08,chest,Жим лежа,2,6,80,
2026-03-08,chest,Жим лежа,3,5,85,
2026-03-08,chest,Жим лежа,4,3,90,
2026-03-08,chest,Жим на наклонной,1,10,40,
2026-03-08,chest,Жим на наклонной,2,10,50,
2026-03-08,chest,Жим на наклонной,3,10,60,
2026-03-08,chest,Жим на наклонной,4,6,70,
2026-03-08,chest,Разводка гантелей,1,10,12,
2026-03-08,chest,Разводка гантелей,2,10,14,
2026-03-08,chest,Разводка гантелей,3,10,16,
2026-03-08,chest,Отжимания,1,15,0,
2026-03-08,chest,Отжимания,2,15,0,
2026-03-08,chest,Отжимания,3,15,0,
2026-03-08,chest,Пресс подъём ног в висе,1,15,0,
2026-03-08,chest,Пресс подъём ног в висе,2,15,0,
2026-03-08,chest,Пресс подъём ног в висе,3,15,0,
2026-03-08,chest,Пресс подъём ног в висе,4,0,0,100
2026-03-10,back,Подтягивания,1,10,0,
2026-03-10,back,Подтягивания,2,4,32,
2026-03-10,back,Подтягивания,3,3,32,
2026-03-10,back,Подтягивания,4,2,32,
2026-03-10,back,Подтягивания,5,19,0,
2026-03-10,back,Подтягивания,6,4,32,
2026-03-10,back,Становая тяга,1,10,60,
2026-03-10,back,Становая тяга,2,6,120,
2026-03-10,back,Становая тяга,3,6,120,
2026-03-10,back,Становая тяга,4,5,130,
2026-03-10,back,Тяга штанги в наклоне,1,10,60,
2026-03-10,back,Тяга штанги в наклоне,2,10,60,
2026-03-10,back,Тяга штанги в наклоне,3,10,60,
2026-03-10,back,Тяга гантели,1,8,12,
2026-03-10,back,Тяга гантели,2,8,12,
2026-03-10,back,Тяга гантели,3,8,12,
2026-03-10,back,Тяга гантели,4,8,12,
2026-03-10,back,пресс планка,1,0,0,90
2026-03-10,back,пресс планка,2,0,0,90
2026-03-10,back,пресс планка,3,0,0,90
2026-03-11,legs,Приседания,1,10,60,
2026-03-17,back,пресс планка,1,0,0,90